name,technology,status,year,capacity_mw,region,lat,lng,coords_exact,retired_units,developer_partners,financiers,investment,returns_tariff,tax_regulation,source
Gazli gas field,gasfield,op,1956,,Bukhara region,40.13,63.46,true,,Uzbekneftegaz (state),USSR state budget,Not disclosed,n/a — fuel resource,State-owned,"Wikipedia — discovered 1956, production from 1960"
Chirchik HPP,hydro,op,1940,80,"Tashkent region (Chirchik, Qibray district)",41.47,69.58,false,,State (now JSC Uzbekenergo),USSR state budget,Not disclosed (state-planned),Regulated state tariff,State-owned,"Global Energy Monitor wiki (gem.wiki), fetched 2026-06-02 — Chirchik plant, 4 turbines, 1940"
Tavak HPP,hydro,op,1941,70,Tashkent region (Bostanlik district),41.6,70.0,false,,State (now JSC Uzbekenergo),USSR state budget,Not disclosed (state-planned),Regulated state tariff,State-owned,"Global Energy Monitor wiki (gem.wiki), fetched 2026-06-02 — Tavak plant, 4 x 18 MW turbines, 1941"
Akkavak HPP,hydro,op,1951,39,"Tashkent region (Chirchik, Kibray district)",41.4471,69.5578,true,,State (now JSC Uzbekenergo),USSR state budget,Not disclosed (state-planned),Regulated state tariff,State-owned,"Global Energy Monitor wiki (gem.wiki), fetched 2026-06-02 — Akkavak plant, 1 turbine run-of-river, 1951"
Farhad HPP,hydro,op,1953,126,on the Syr Darya (near Bekabad),40.22,69.27,false,,State (now Uzbekhydroenergo),USSR state budget,Not disclosed (state-planned),Regulated state tariff,State-owned,"Eurasian Research Institute — built 1943, online ~1953"
Charvak HPP,hydro,op,1970,700,Tashkent region (Chirchik),41.62,70.01,false,,State (now Uzbekhydroenergo),USSR state budget; rehab 2012–15,Not disclosed (state-planned),Regulated state tariff,State-owned,"Power Technology — 700 MW, commissioned 1970"
Khodzhikent HPP,hydro,op,1976,165,Tashkent region (Bostanlik / Karankultugay),41.56,69.95,false,,JSC Uzbekgidroenergo,USSR state budget,Not disclosed (state-planned),Regulated state tariff,State-owned,"Global Energy Monitor wiki (gem.wiki), fetched 2026-06-02 — Khodzhikent plant on Chirchik River, 1976; pumped storage 200 MW extension pre-construction"
Gazalkent HPP,hydro,op,1981,120,Tashkent region (Bostanlik district),41.5625,69.775,false,,JSC Uzbekgidroenergo,USSR state budget,Not disclosed (state-planned),Regulated state tariff,State-owned,"Global Energy Monitor wiki (gem.wiki), fetched 2026-06-02 — Gazalkent (Gʻazalkent) plant on Chirchik River; coordinates via Wikipedia town record"
Andijan-1 HPP,hydro,op,1985,140,Andijan region (Xonobod city),40.81,73.0,false,,JSC Uzbekgidroenergo,USSR state budget,Not disclosed (state-planned),Regulated state tariff,State-owned,"Global Energy Monitor wiki (gem.wiki), fetched 2026-06-02 — Andijan-1 plant on Karadarya River, 1985"
Tuyamuyun HPP,hydro,op,1986,150,Karakalpakstan (Tortkul district),41.78,61.46,false,,JSC Uzbekgidroenergo,USSR state budget,Not disclosed (state-planned),Regulated state tariff,State-owned,"Global Energy Monitor wiki (gem.wiki), fetched 2026-06-02 — Tuyamuyun plant on Amudarya River, 1986; cross-border facility with Turkmenistan"
Andijan HPP,hydro,op,2010,50,Andijan region (Andijan Reservoir),40.7747,73.1219,true,,JSC Uzbekgidroenergo,State / DFI (likely AFD-related per Tashkent–Andijan hydro programme),Not separately disclosed,Regulated state tariff,State-owned,"Global Energy Monitor wiki (gem.wiki), fetched 2026-06-02 — Andijan plant, 50 MW, 2010; reservoir coordinates from Wikipedia"
Gissarak HPP,hydro,op,2010,45,Kashkadarya region,38.85,67.05,false,,JSC Uzbekgidroenergo,State,Not separately disclosed,Regulated state tariff,State-owned,"Global Energy Monitor wiki (gem.wiki), fetched 2026-06-02 — Gissarak (Hisarak) plant on Aksu River, 2010"
Zarchob I HPP,hydro,op,2021,37,Surxondaryo region (Sariosiyo district),38.5,67.95,false,,JSC Uzbekgidroenergo (Uzbekhydroenergo),State,Not publicly disclosed,Regulated state tariff,State-owned,"Global Energy Monitor wiki (gem.wiki), fetched 2026-06-02 — Zarchob I run-of-river plant on Tupalang River, 2 turbines, 2021"
Topalang HPP,hydro,op,2023,175,Surxondaryo region (Sariosiyo district),38.4,67.95,false,,JSC Uzbekgidroenergo,State / DFI co-financing,Not publicly disclosed,Regulated state tariff,State-owned,"Global Energy Monitor wiki (gem.wiki), fetched 2026-06-02 — Topalang plant on Tupalangdarya River, 2023"
Pskem HPP,hydro,build,2026,400,Tashkent region (Bostanlik district),41.85,70.3,false,,JSC Uzbekgidroenergo,DFI co-financing (in part),"Conventional storage hydropower, expected commissioning 2026",Regulated state tariff,State strategic project,"Global Energy Monitor wiki (gem.wiki), fetched 2026-06-02 — Pskem plant on Pskem River, under construction, 2026 target"
Akbulak HPP,hydro,plan,2028,60,Tashkent region,41.5382,69.6948,true,,JSC Uzbekgidroenergo,TBD,Announced phase,Regulated state tariff,State strategic project,"Global Energy Monitor wiki (gem.wiki), fetched 2026-06-02 — Akbulak plant on Akbulak River, announced, 2028 target"
Mullalak HPP,hydro,plan,2028,140,Tashkent region (Boʻstonliq district),41.8,70.1,false,,JSC Uzbekgidroenergo,Bank of China,Pre-construction; conventional storage,Regulated state tariff,State strategic project,"Global Energy Monitor wiki (gem.wiki), fetched 2026-06-02 — Mullalak plant on Pskem River; Bank of China financing"
Karateren pumped storage,hydro,plan,2030,500,Tashkent region (Bostanlik district),41.7,70.2,false,,JSC Uzbekgidroenergo,TBD,Announced pumped storage facility,Regulated state tariff / ancillary services,State strategic project,"Global Energy Monitor wiki (gem.wiki), fetched 2026-06-02 — Karateren pumped storage on Pskem River, announced, 2030 target"
Uzbekistan Nuclear Plant,nuclear,build,2029,2100,Jizzakh (Farish district),40.5833,67.3333,true,,Uzatom + Rosatom (Russia),Russian state financing / intergovernmental,"Scope raised in 2025 to 2×VVER-1000 + 2×55 MW SMR (>2,100 MW)",Carbon-free baseload; first unit ~2028–29,State strategic project,World Nuclear News; Wikipedia — construction began 2025
Nur Navoi solar,solar,op,2021,100,Navoi (Karmana),40.14,65.46,false,,Masdar (UAE),IFC Scaling Solar,First competitive solar tender (PPP/IPP),"PPA tariff $0.027/kWh, 25-yr",RES exemptions (property/land 10 yr); customs/VAT relief on imported equipment,IEA market design; Masdar
Nurabad solar,solar,op,2022,100,Samarkand (Nurabad),39.7,66,false,,Total Eren (France),IPP / PPA,IPP,"25-yr PPA, sole off-taker NEGU",RES exemptions; customs/VAT relief,president.uz; evwind
Sherabad solar,solar,op,2023,457,Surkhandarya (Sherabad),37.66,67,false,,Masdar,ADB ($36.7M) + B-loan syndication,Part of Masdar 897 MW solar program (~$900M),25-yr PPA,RES exemptions; customs/VAT relief,AIIB; ADB — highest-irradiance region
Gallaorol solar (Jizzakh),solar,op,2023,220,Jizzakh (Gallaorol),40.02,67.59,false,,Masdar,ADB ($14.3M) + syndication,Part of Masdar 897 MW solar program,25-yr PPA,RES exemptions; 14.7 km 220kV line to Saribazar substation,AIIB; ADB
Kattakurgan solar (Samarkand),solar,op,2023,220,Samarkand (Kattakurgan),39.9,66.26,false,,Masdar,ADB ($13.5M) + syndication,Part of Masdar 897 MW solar program,25-yr PPA,RES exemptions; 4.5 km 220kV line to Ishtihan substation,AIIB; ADB
Karaulbazar solar (Bukhara),solar,op,2023,200,Bukhara,39.5,64.6,false,,Developer not confirmed in sources,IPP / PPA,IPP,25-yr PPA,RES exemptions; customs/VAT relief,evwind / REVE
Nishan solar (Kashkadarya),solar,op,2024,300,Kashkadarya (Nishan),38.6,65.7,false,,Developer not confirmed in sources,IPP / PPA,100 MW + 200 MW,25-yr PPA,RES exemptions; customs/VAT relief,evwind / REVE
Yukorichirchik solar (Tashkent),solar,op,2024,200,Tashkent region,41.1,69.5,false,,Developer not confirmed in sources,IPP / PPA,IPP — near main demand centre,25-yr PPA,RES exemptions,evwind / REVE
Nur Bukhara solar + BESS,solar,op,2025,250,Bukhara (Alat),39.41,63.42,false,,Masdar,IPP / PPA,250 MW solar + 63 MW / 126 MWh battery,25-yr PPA,RES exemptions; customs/VAT relief,"Astana Times — first integrated solar+battery, Dec 2025"
Samarkand 1 & 2 solar + BESS,solar,build,2026,1000,Samarkand & Bukhara,39.6,66.6,false,,"ACWA Power + Sumitomo, Shikoku, Chubu",EBRD $142M package (Oct 2025),"1,000 MW solar + 1,336 MWh battery",25-yr PPA,RES exemptions; customs/VAT relief,Renewable Watch; EBRD
Tashkent Riverside solar + BESS,storage,op,2026,200,Tashkent region,41.1,69.4,false,,ACWA Power (100%),IFC + commercial,$546M — 200 MW solar + 334 MW / 500 MWh battery,"25-yr PPA, NEGU off-taker",RES exemptions; customs/VAT relief,ess-news — operational Feb 2026
Zangiata BESS,storage,plan,2027,150,Tashkent region (Zangiata),41.2,69.1,false,,Masdar + Eaglerise (China),IPP / service agreement,150 MW / 300 MWh standalone battery + substation & lines,Capacity service agreement,RES / storage incentives,Caspian Post — Dec 2025
